IP,pages,pageviews,pageviews_per_session,avg_session_duration,country,Time
10.128.2.1,/index.html,64,2,2.232087485,South Africa,[29/Nov/2017:06:58:55
10.128.2.2,/archery.html,80,1,2.835776408,Botswana,[29/Nov/2017:06:59:02
10.128.2.1,/athletics.html,14,2,2.456170734,South Africa,[29/Nov/2017:06:59:03
10.131.2.1,/boxing.html,42,2,2.513299592,Fiji,[29/Nov/2017:06:59:04
10.130.2.1,/wrestling.html,80,1,3.870084343,Moscow,[29/Nov/2017:06:59:06
10.130.2.1,/track-cycling.html,18,2,1.824760605,Moscow,[29/Nov/2017:06:59:19
10.128.2.1,/tennis.html,38,2,3.125257491,South Africa,[29/Nov/2017:06:59:19
10.131.2.1,/rugby.html,69,2,2.355482876,Fiji,[29/Nov/2017:06:59:19
10.131.2.1,/hockey.html,64,2,2.562006525,Fiji,[29/Nov/2017:06:59:30
10.131.2.2,/football.html,71,1,3.929719584,Ghana,[29/Nov/2017:06:59:37
10.131.2.2,/contact_us.html,54,3,3.21775973,Ghana,[29/Nov/2017:06:59:37
10.130.2.1,/wrestling.html,81,2,1.600789684,Moscow,[29/Nov/2017:07:00:19
10.130.2.1,/track-cycling.html,19,3,1.35818821,Moscow,[29/Nov/2017:07:00:21
10.130.2.1,/tennis.html,23,2,1.563020455,Moscow,[29/Nov/2017:13:31:27
10.130.2.1,/rugby.html,58,2,2.668390353,Moscow,[29/Nov/2017:13:31:28
10.129.1.1,/hockey.html,22,1,2.49406585,Egypt,[29/Nov/2017:13:38:03
10.131.0.1,/football.html,27,2,1.383616282,Brazil,[29/Nov/2017:13:38:04
10.131.0.1,/contact_us.html,31,1,1.880323603,Brazil,[29/Nov/2017:13:38:07
10.130.2.1,/index.html,99,2,2.7402306,Moscow,[29/Nov/2017:13:38:19
10.131.2.2,/archery.html,33,3,3.588119861,Ghana,[29/Nov/2017:13:38:20
10.131.2.2,/athletics.html,100,3,1.898819954,Ghana,[29/Nov/2017:13:38:20
10.128.2.2,/boxing.html,67,2,3.850490212,Botswana,[29/Nov/2017:13:38:20
10.128.2.2,/wrestling.html,97,2,1.92244268,Botswana,[29/Nov/2017:13:38:20
10.128.2.2,/index.html,36,1,2.920468607,Botswana,[29/Nov/2017:13:38:20
10.128.2.2,/archery.html,10,1,2.427080866,Botswana,[29/Nov/2017:13:38:20
10.128.2.2,/athletics.html,7,1,1.177900247,Botswana,[29/Nov/2017:13:38:20
10.128.2.2,/boxing.html,57,3,2.065029771,Botswana,[29/Nov/2017:13:38:21
10.128.2.2,/wrestling.html,22,2,2.016949853,Botswana,[29/Nov/2017:13:38:21
10.131.2.2,/index.html,11,3,1.341097386,Ghana,[29/Nov/2017:13:38:23
10.131.2.2,/archery.html,54,1,1.342351767,Ghana,[29/Nov/2017:13:46:46
10.131.2.2,/athletics.html,63,1,1.612824069,Ghana,[29/Nov/2017:13:46:50
10.131.2.2,/boxing.html,35,1,3.283361867,Ghana,[29/Nov/2017:13:46:53
10.131.2.2,/wrestling.html,41,3,1.880304318,Ghana,[29/Nov/2017:13:46:54
10.131.2.2,/index.html,84,2,3.071668619,Ghana,[29/Nov/2017:13:47:04
10.131.2.2,/archery.html,87,1,1.473287954,Ghana,[29/Nov/2017:13:47:05
10.131.2.1,/athletics.html,39,3,3.643179607,Fiji,[29/Nov/2017:13:47:16
10.131.2.1,/boxing.html,91,2,3.336683365,Fiji,[29/Nov/2017:13:47:16
10.131.2.3,/wrestling.html,76,2,1.280150277,Italy,[29/Nov/2017:13:47:19
10.130.2.4,/track-cycling.html,83,2,3.439734809,Morocco,[29/Nov/2017:13:47:20
10.129.1.1,/tennis.html,4,1,3.329194791,Egypt,[29/Nov/2017:13:49:25
10.128.2.1,/rugby.html,27,1,3.480509071,South Africa,[29/Nov/2017:13:49:26
10.128.2.1,/hockey.html,70,3,1.595854943,South Africa,[29/Nov/2017:13:49:32
10.128.2.1,/football.html,53,3,3.192878442,South Africa,[29/Nov/2017:13:49:34
10.128.2.2,/contact_us.html,100,3,2.050213996,Botswana,[29/Nov/2017:13:49:37
10.128.2.2,/index.html,24,3,3.581408496,Botswana,[29/Nov/2017:13:51:40
10.128.2.2,/archery.html,9,2,1.246826655,Botswana,[29/Nov/2017:13:51:41
10.128.2.2,/athletics.html,46,3,1.026593085,Botswana,[29/Nov/2017:13:51:44
10.128.2.2,/boxing.html,33,3,1.156488872,Botswana,[29/Nov/2017:13:51:44
10.128.2.2,/wrestling.html,76,3,3.01415482,Botswana,[29/Nov/2017:13:51:46
10.128.2.2,/index.html,86,1,1.540368161,Botswana,[29/Nov/2017:13:51:49
10.128.2.2,/archery.html,31,2,1.006970191,Botswana,[29/Nov/2017:13:57:04
10.128.2.2,/athletics.html,60,2,3.469032102,Botswana,[29/Nov/2017:14:04:57
10.128.2.2,/boxing.html,25,3,3.496951198,Botswana,[29/Nov/2017:14:05:10
10.128.2.2,/wrestling.html,14,3,1.930064569,Botswana,[29/Nov/2017:14:05:12
10.128.2.2,/index.html,54,2,1.201146612,Botswana,[29/Nov/2017:14:05:16
10.128.2.2,/index.html,11,3,3.470467737,Botswana,[29/Nov/2017:14:05:22
10.128.2.2,/archery.html,3,1,3.252883104,Botswana,[29/Nov/2017:14:05:24
10.131.2.3,/athletics.html,29,1,1.164355763,Italy,[29/Nov/2017:14:05:28
10.131.2.3,/boxing.html,77,1,1.736368712,Italy,[29/Nov/2017:14:05:35
10.131.2.3,/wrestling.html,69,2,3.217381842,Italy,[29/Nov/2017:14:05:37
10.131.2.3,/track-cycling.html,49,3,2.47481348,Italy,[29/Nov/2017:14:06:05
10.128.2.1,/tennis.html,44,3,1.867077729,South Africa,[29/Nov/2017:14:06:10
10.131.0.1,/rugby.html,24,2,3.707102113,Brazil,[29/Nov/2017:14:31:33
10.131.2.3,/hockey.html,59,1,2.556910397,Italy,[29/Nov/2017:14:33:21
10.131.2.3,/football.html,55,3,3.312173754,Italy,[29/Nov/2017:14:33:22
10.128.2.1,/contact_us.html,32,2,1.100906081,South Africa,[29/Nov/2017:14:33:22
10.131.0.1,/index.html,16,1,2.130476208,Brazil,[29/Nov/2017:14:33:22
10.131.2.3,/archery.html,41,1,1.298850712,Italy,[29/Nov/2017:14:33:22
10.131.0.1,/athletics.html,66,3,1.471471766,Brazil,[29/Nov/2017:14:33:22
10.128.2.1,/boxing.html,7,1,1.949395564,South Africa,[29/Nov/2017:14:33:23
10.131.2.3,/wrestling.html,43,3,3.194610127,Italy,[29/Nov/2017:14:33:23
10.131.2.3,/contact_us.html,31,2,2.059267869,Italy,[29/Nov/2017:14:33:23
10.128.2.1,/index.html,3,3,3.624139676,South Africa,[29/Nov/2017:14:33:23
10.131.2.1,/archery.html,77,3,2.780574623,Fiji,[29/Nov/2017:14:33:26
10.130.2.4,/athletics.html,23,2,1.791477104,Morocco,[29/Nov/2017:14:38:07
10.130.2.4,/boxing.html,13,3,2.759805469,Morocco,[29/Nov/2017:14:38:08
10.130.2.4,/wrestling.html,94,3,3.696307822,Morocco,[29/Nov/2017:14:38:09
10.130.2.4,/index.html,41,3,1.188608885,Morocco,[29/Nov/2017:14:38:13
10.128.2.1,/archery.html,87,1,1.421276432,South Africa,[29/Nov/2017:14:38:40
10.128.2.1,/athletics.html,2,2,3.774883864,South Africa,[29/Nov/2017:14:38:43
10.129.1.1,/boxing.html,98,3,3.548754155,Egypt,[29/Nov/2017:14:52:51
10.129.2.1,/wrestling.html,15,3,2.465677791,Zambia,[29/Nov/2017:14:53:22
10.129.2.1,/index.html,5,2,2.823600575,Zambia,[29/Nov/2017:14:53:24
